Data,Ticker,Płynność bieżąca,Udział zysku netto w przepływach operacyjnych,ROE,Marża zysku operacyjnego,Cena / Wartość księgowa,Cena / Zysk,Zadłużenie ogólne
2009-12-31,11B,,,,,4710.0,,
2010-12-31,11B,20.57,32.77,-18.22,-59.92,694.99,,0.05
2011-09-30,11B,25.69,-89.79,30.73,33.09,437.09,1422.45,0.04
2011-12-31,11B,9.47,368.38,50.49,47.76,351.59,696.37,0.1
2012-03-31,11B,45.03,493.45,53.15,50.36,276.28,519.87,0.02
2012-06-30,11B,45.66,374.64,40.88,42.96,279.89,684.72,0.02
2012-09-30,11B,68.12,319.03,17.21,32.87,146.72,852.66,0.01
2012-12-31,11B,30.42,-188.64,19.45,37.43,151.04,776.43,0.03
2013-03-31,11B,28.08,-779.23,14.53,29.17,149.81,1030.9,0.04
2013-06-30,11B,29.77,611.84,19.08,31.60,142.82,748.6,0.03
2013-09-30,11B,24.33,-183.40,12.61,21.89,149.02,1181.34,0.04
2013-12-31,11B,28.6,120.29,12.72,24.42,131.82,1036.01,0.03
2014-03-31,11B,28.79,-345.08,5.70,14.97,141.27,2480.52,0.03
2014-06-30,11B,18.92,46.68,-13.19,-11.46,150.71,,0.05
2014-09-30,11B,18.64,145.65,-3.98,1.98,154.94,,0.05
2014-12-31,11B,9.29,243.63,54.31,63.61,61.41,113.07,0.1
2015-03-31,11B,4.64,126.10,64.98,70.45,48.55,74.71,0.22
2015-06-30,11B,32.19,242.91,68.99,77.01,39.2,56.81,0.03
2015-09-30,11B,29.82,106.34,75.16,77.07,39.3,52.29,0.06
2015-12-31,11B,7.21,61.92,40.33,59.40,36.42,90.29,0.13
2016-03-31,11B,10.11,81.11,35.90,60.88,31.39,87.44,0.09
2016-06-30,11B,15.22,48.96,28.82,53.20,29.89,103.71,0.07
2016-09-30,11B,16.0,76.56,26.05,49.36,28.72,110.27,0.06
2016-12-31,11B,11.74,102.12,30.69,52.32,24.79,80.77,0.08
2017-03-31,11B,21.68,66.38,17.75,39.29,25.43,143.31,0.04
2017-06-30,11B,21.87,69.67,16.75,41.49,25.01,149.29,0.04
2017-09-30,11B,21.43,57.79,11.96,32.55,25.5,213.28,0.05
2017-12-31,11B,18.92,40.46,7.70,39.22,23.31,302.77,0.05
2018-03-31,11B,33.91,51.14,8.03,34.32,23.81,296.61,0.03
2018-06-30,11B,7.47,89.19,38.26,61.88,14.69,38.39,0.11
2018-09-30,11B,8.88,82.12,41.22,60.11,13.67,33.15,0.09
2018-12-31,11B,9.27,96.17,41.76,57.18,11.98,28.69,0.18
2019-03-31,11B,10.37,78.02,44.57,56.87,11.18,25.07,0.17
2019-06-30,11B,6.18,54.73,18.97,37.91,10.73,56.56,0.21
2019-09-30,11B,4.58,46.53,17.96,34.74,10.16,56.54,0.24
2019-12-31,11B,4.29,52.13,18.13,33.52,9.0,49.62,0.23
2020-03-31,11B,4.72,63.12,23.32,40.39,7.91,33.9,0.2
2006-12-31,ABS,5.03,39.95,8.73,5.01,4.98,57.02,0.17
2007-12-31,ABS,1.94,96.18,7.32,15.58,5.55,75.81,0.16
2008-03-31,ABS,3.16,-142.18,10.29,17.46,5.32,51.73,0.1
2008-06-30,ABS,2.8,85.87,8.26,15.96,4.21,50.95,0.09
2008-09-30,ABS,3.17,61.94,8.86,16.62,4.14,46.79,0.08
2008-12-31,ABS,2.64,82.54,9.20,17.04,3.99,43.37,0.12
2009-03-31,ABS,4.22,67.25,8.61,16.38,3.9,45.24,0.07
2009-06-30,ABS,3.47,74.92,9.40,16.41,4.05,43.13,0.08
2009-09-30,ABS,3.95,72.28,9.60,17.45,3.97,41.38,0.07
2009-12-31,ABS,3.08,57.68,8.65,17.13,3.86,44.66,0.1
2010-03-31,ABS,4.56,65.56,9.03,18.90,3.75,41.53,0.07
2010-06-30,ABS,3.32,62.02,10.42,20.10,4.72,45.27,0.08
2010-09-30,ABS,3.28,76.17,10.87,20.26,4.59,42.24,0.09
2010-12-31,ABS,3.02,68.91,11.38,21.22,4.42,38.87,0.11
2011-03-31,ABS,4.77,75.08,11.66,21.74,4.27,36.61,0.07
2011-06-30,ABS,3.6,88.76,12.81,21.70,4.68,36.55,0.08
2011-09-30,ABS,4.78,78.78,12.07,22.18,4.58,37.94,0.06
2011-12-31,ABS,3.77,87.86,11.29,22.10,4.43,39.2,0.08
2012-03-31,ABS,5.18,81.26,9.99,20.57,4.32,43.22,0.06
2012-06-30,ABS,3.86,74.51,10.58,20.12,4.8,45.39,0.06
2012-09-30,ABS,4.97,95.41,10.56,20.57,4.68,44.34,0.05
2012-12-31,ABS,4.55,90.44,10.26,21.99,4.52,44.08,0.07
2013-03-31,ABS,6.13,77.19,9.96,22.49,4.41,44.25,0.05
2013-06-30,ABS,4.49,68.88,10.92,22.89,4.8,43.95,0.06
2013-09-30,ABS,5.22,58.68,10.53,22.90,4.69,44.52,0.05
