Data,Zamkniecie,Country,Ind
1991-03-31,1197.55,Belgium,^bel20_q
1991-06-30,1162.54,Belgium,^bel20_q
1991-09-30,1088.95,Belgium,^bel20_q
1991-12-31,1092.72,Belgium,^bel20_q
1992-03-31,1193.01,Belgium,^bel20_q
1992-06-30,1162.75,Belgium,^bel20_q
1992-09-30,1109.17,Belgium,^bel20_q
1992-12-31,1127.02,Belgium,^bel20_q
1993-03-31,1262.19,Belgium,^bel20_q
1993-06-30,1279.53,Belgium,^bel20_q
1993-09-30,1300.08,Belgium,^bel20_q
1993-12-31,1473.1,Belgium,^bel20_q
1994-03-31,1464.51,Belgium,^bel20_q
1994-06-30,1410.46,Belgium,^bel20_q
1994-09-30,1376.11,Belgium,^bel20_q
1994-12-31,1389.64,Belgium,^bel20_q
1995-03-31,1300.44,Belgium,^bel20_q
1995-06-30,1431.87,Belgium,^bel20_q
1995-09-30,1461.66,Belgium,^bel20_q
1995-12-31,1559.63,Belgium,^bel20_q
1996-03-31,1639.43,Belgium,^bel20_q
1996-06-30,1742.94,Belgium,^bel20_q
1996-09-30,1771.23,Belgium,^bel20_q
1996-12-31,1895.49,Belgium,^bel20_q
1997-03-31,2146.37,Belgium,^bel20_q
1997-06-30,2380.7,Belgium,^bel20_q
1997-09-30,2437.6,Belgium,^bel20_q
1997-12-31,2418.42,Belgium,^bel20_q
1998-03-31,2985.52,Belgium,^bel20_q
1998-06-30,3440.54,Belgium,^bel20_q
1998-09-30,2959.2,Belgium,^bel20_q
1998-12-31,3514.51,Belgium,^bel20_q
1999-03-31,3251.45,Belgium,^bel20_q
1999-06-30,3135.16,Belgium,^bel20_q
1999-09-30,3074.67,Belgium,^bel20_q
1999-12-31,3340.43,Belgium,^bel20_q
2000-03-31,2777.84,Belgium,^bel20_q
2000-06-30,2953.28,Belgium,^bel20_q
2000-09-30,3056.01,Belgium,^bel20_q
2000-12-31,3024.49,Belgium,^bel20_q
2001-03-31,2838.41,Belgium,^bel20_q
2001-06-30,2885.03,Belgium,^bel20_q
2001-09-30,2642.55,Belgium,^bel20_q
2001-12-31,2782.01,Belgium,^bel20_q
2002-03-31,2769.19,Belgium,^bel20_q
2002-06-30,2535.74,Belgium,^bel20_q
2002-09-30,1869.09,Belgium,^bel20_q
2002-12-31,2025.04,Belgium,^bel20_q
2003-03-31,1635.22,Belgium,^bel20_q
2003-06-30,1939.77,Belgium,^bel20_q
2003-09-30,2051.83,Belgium,^bel20_q
2003-12-31,2244.18,Belgium,^bel20_q
2004-03-31,2380.35,Belgium,^bel20_q
2004-06-30,2470.66,Belgium,^bel20_q
2004-09-30,2693.21,Belgium,^bel20_q
2004-12-31,2932.62,Belgium,^bel20_q
2005-03-31,3125.67,Belgium,^bel20_q
2005-06-30,3112.83,Belgium,^bel20_q
2005-09-30,3328.8,Belgium,^bel20_q
2005-12-31,3549.25,Belgium,^bel20_q
2006-03-31,3912.28,Belgium,^bel20_q
2006-06-30,3703.32,Belgium,^bel20_q
2006-09-30,4070.78,Belgium,^bel20_q
2006-12-31,4388.52,Belgium,^bel20_q
2007-03-31,4471.64,Belgium,^bel20_q
2007-06-30,4639.39,Belgium,^bel20_q
2007-09-30,4325.29,Belgium,^bel20_q
2007-12-31,4127.47,Belgium,^bel20_q
2008-03-31,3709.08,Belgium,^bel20_q
2008-06-30,3168.22,Belgium,^bel20_q
2008-09-30,2672.2,Belgium,^bel20_q
2008-12-31,1908.64,Belgium,^bel20_q
2009-03-31,1748.74,Belgium,^bel20_q
2009-06-30,2030.98,Belgium,^bel20_q
2009-09-30,2485.62,Belgium,^bel20_q
2009-12-31,2511.62,Belgium,^bel20_q
2010-03-31,2648.46,Belgium,^bel20_q
2010-06-30,2386.53,Belgium,^bel20_q
2010-09-30,2589.73,Belgium,^bel20_q
2010-12-31,2578.6,Belgium,^bel20_q
2011-03-31,2662.17,Belgium,^bel20_q
2011-06-30,2572.58,Belgium,^bel20_q
2011-09-30,2131.28,Belgium,^bel20_q
2011-12-31,2083.42,Belgium,^bel20_q
2012-03-31,2324.05,Belgium,^bel20_q
2012-06-30,2227.63,Belgium,^bel20_q
2012-09-30,2373.33,Belgium,^bel20_q
2012-12-31,2475.81,Belgium,^bel20_q
2013-03-31,2592.19,Belgium,^bel20_q
2013-06-30,2526.11,Belgium,^bel20_q
2013-09-30,2802.27,Belgium,^bel20_q
2013-12-31,2923.82,Belgium,^bel20_q
2014-03-31,3129.94,Belgium,^bel20_q
2014-06-30,3127.21,Belgium,^bel20_q
2014-09-30,3221.4,Belgium,^bel20_q
2014-12-31,3285.26,Belgium,^bel20_q
2015-03-31,3725.82,Belgium,^bel20_q
2015-06-30,3574.7,Belgium,^bel20_q
2015-09-30,3344.5,Belgium,^bel20_q
2015-12-31,3700.3,Belgium,^bel20_q
2016-03-31,3373.04,Belgium,^bel20_q
2016-06-30,3345.63,Belgium,^bel20_q
2016-09-30,3555.92,Belgium,^bel20_q
2016-12-31,3606.36,Belgium,^bel20_q
2017-03-31,3817.02,Belgium,^bel20_q
2017-06-30,3793.62,Belgium,^bel20_q
2017-09-30,4017.75,Belgium,^bel20_q
2017-12-31,3977.88,Belgium,^bel20_q
2018-03-31,3857.1,Belgium,^bel20_q
2018-06-30,3719.86,Belgium,^bel20_q
2018-09-30,3706.74,Belgium,^bel20_q
2018-12-31,3243.63,Belgium,^bel20_q
2019-03-31,3658.72,Belgium,^bel20_q
2019-06-30,3547.46,Belgium,^bel20_q
2019-09-30,3714.42,Belgium,^bel20_q
2019-12-31,3955.83,Belgium,^bel20_q
2020-03-31,2901.58,Belgium,^bel20_q
2020-06-30,2973.77,Belgium,^bel20_q
2001-12-31,118.63,Bulgaria,^sofix_q
2002-03-31,120.56,Bulgaria,^sofix_q
2002-06-30,132.15,Bulgaria,^sofix_q
2002-09-30,149.82,Bulgaria,^sofix_q
2002-12-31,183.08,Bulgaria,^sofix_q
2003-03-31,229.14,Bulgaria,^sofix_q
2003-06-30,279.63,Bulgaria,^sofix_q
2003-09-30,413.26,Bulgaria,^sofix_q
2003-12-31,454.34,Bulgaria,^sofix_q
2004-03-31,453.09,Bulgaria,^sofix_q
2004-06-30,506.71,Bulgaria,^sofix_q
2004-09-30,586.46,Bulgaria,^sofix_q
2004-12-31,625.31,Bulgaria,^sofix_q
2005-03-31,840.01,Bulgaria,^sofix_q
2005-06-30,732.96,Bulgaria,^sofix_q
2005-09-30,898.38,Bulgaria,^sofix_q
2005-12-31,825.53,Bulgaria,^sofix_q
2006-03-31,869.91,Bulgaria,^sofix_q
2006-06-30,888.25,Bulgaria,^sofix_q
2006-09-30,966.78,Bulgaria,^sofix_q
2006-12-31,1224.12,Bulgaria,^sofix_q
2007-03-31,1278.18,Bulgaria,^sofix_q
2007-06-30,1411.61,Bulgaria,^sofix_q
2007-09-30,1849.68,Bulgaria,^sofix_q
2007-12-31,1751.01,Bulgaria,^sofix_q
2008-03-31,1246.33,Bulgaria,^sofix_q
2008-06-30,1137.15,Bulgaria,^sofix_q
2008-09-30,792.48,Bulgaria,^sofix_q
2008-12-31,358.66,Bulgaria,^sofix_q
2009-03-31,278.28,Bulgaria,^sofix_q
2009-06-30,356.73,Bulgaria,^sofix_q
2009-09-30,480.14,Bulgaria,^sofix_q
2009-12-31,427.27,Bulgaria,^sofix_q
2010-03-31,421.44,Bulgaria,^sofix_q
2010-06-30,373.02,Bulgaria,^sofix_q
2010-09-30,387.12,Bulgaria,^sofix_q
2010-12-31,362.35,Bulgaria,^sofix_q
2011-03-31,445.43,Bulgaria,^sofix_q
2011-06-30,413.77,Bulgaria,^sofix_q
2011-09-30,347.01,Bulgaria,^sofix_q
2011-12-31,322.11,Bulgaria,^sofix_q
2012-03-31,308.91,Bulgaria,^sofix_q
2012-06-30,292.99,Bulgaria,^sofix_q
2012-09-30,323.97,Bulgaria,^sofix_q
2012-12-31,345.46,Bulgaria,^sofix_q
2013-03-31,384.29,Bulgaria,^sofix_q
2013-06-30,443.77,Bulgaria,^sofix_q
2013-09-30,456.2,Bulgaria,^sofix_q
2013-12-31,491.52,Bulgaria,^sofix_q
2014-03-31,600.32,Bulgaria,^sofix_q
2014-06-30,551.41,Bulgaria,^sofix_q
2014-09-30,539.96,Bulgaria,^sofix_q
2014-12-31,522.1,Bulgaria,^sofix_q
2015-03-31,514.09,Bulgaria,^sofix_q
2015-06-30,485.25,Bulgaria,^sofix_q
2015-09-30,442.34,Bulgaria,^sofix_q
2015-12-31,460.9,Bulgaria,^sofix_q
2016-03-31,446.35,Bulgaria,^sofix_q
2016-06-30,455.55,Bulgaria,^sofix_q
2016-09-30,504.58,Bulgaria,^sofix_q
2016-12-31,586.43,Bulgaria,^sofix_q
2017-03-31,633.99,Bulgaria,^sofix_q
2017-06-30,703.46,Bulgaria,^sofix_q
2017-09-30,688.11,Bulgaria,^sofix_q
2017-12-31,677.45,Bulgaria,^sofix_q
2018-03-31,649.17,Bulgaria,^sofix_q
2018-06-30,634.26,Bulgaria,^sofix_q
2018-09-30,624.39,Bulgaria,^sofix_q
2018-12-31,594.46,Bulgaria,^sofix_q
2019-03-31,583.87,Bulgaria,^sofix_q
2019-06-30,587.81,Bulgaria,^sofix_q
2019-09-30,570.58,Bulgaria,^sofix_q
2019-12-31,568.14,Bulgaria,^sofix_q
2020-03-31,419.35,Bulgaria,^sofix_q
2020-06-30,452.98,Bulgaria,^sofix_q
1993-09-30,333.1,Czech Republic,^px_q
1993-12-31,705.2,Czech Republic,^px_q
1994-03-31,1020.6,Czech Republic,^px_q
1994-06-30,679.9,Czech Republic,^px_q
1994-09-30,694.3,Czech Republic,^px_q
1994-12-31,557.2,Czech Republic,^px_q
1995-03-31,422.9,Czech Republic,^px_q
1995-06-30,389.0,Czech Republic,^px_q
1995-09-30,453.8,Czech Republic,^px_q
1995-12-31,425.9,Czech Republic,^px_q
1996-03-31,498.7,Czech Republic,^px_q
1996-06-30,545.2,Czech Republic,^px_q
1996-09-30,563.9,Czech Republic,^px_q
1996-12-31,539.6,Czech Republic,^px_q
1997-03-31,558.2,Czech Republic,^px_q
1997-06-30,489.0,Czech Republic,^px_q
1997-09-30,535.9,Czech Republic,^px_q
1997-12-31,495.3,Czech Republic,^px_q
1998-03-31,505.0,Czech Republic,^px_q
1998-06-30,467.0,Czech Republic,^px_q
1998-09-30,359.8,Czech Republic,^px_q
1998-12-31,394.2,Czech Republic,^px_q
1999-03-31,388.1,Czech Republic,^px_q
1999-06-30,483.9,Czech Republic,^px_q
1999-09-30,502.5,Czech Republic,^px_q
1999-12-31,489.7,Czech Republic,^px_q
2000-03-31,644.2,Czech Republic,^px_q
2000-06-30,524.8,Czech Republic,^px_q
2000-09-30,501.6,Czech Republic,^px_q
2000-12-31,478.5,Czech Republic,^px_q
2001-03-31,425.5,Czech Republic,^px_q
2001-06-30,417.7,Czech Republic,^px_q
2001-09-30,331.9,Czech Republic,^px_q
2001-12-31,394.6,Czech Republic,^px_q
2002-03-31,428.7,Czech Republic,^px_q
2002-06-30,412.6,Czech Republic,^px_q
2002-09-30,442.0,Czech Republic,^px_q
2002-12-31,460.7,Czech Republic,^px_q
2003-03-31,492.8,Czech Republic,^px_q
2003-06-30,535.1,Czech Republic,^px_q
2003-09-30,602.0,Czech Republic,^px_q
2003-12-31,659.1,Czech Republic,^px_q
2004-03-31,823.8,Czech Republic,^px_q
2004-06-30,793.5,Czech Republic,^px_q
2004-09-30,875.4,Czech Republic,^px_q
2004-12-31,1032.0,Czech Republic,^px_q
2005-03-31,1168.4,Czech Republic,^px_q
2005-06-30,1210.1,Czech Republic,^px_q
2005-09-30,1453.7,Czech Republic,^px_q
2005-12-31,1473.0,Czech Republic,^px_q
2006-03-31,1523.9,Czech Republic,^px_q
2006-06-30,1390.4,Czech Republic,^px_q
2006-09-30,1447.5,Czech Republic,^px_q
2006-12-31,1588.9,Czech Republic,^px_q
2007-03-31,1712.2,Czech Republic,^px_q
2007-06-30,1859.1,Czech Republic,^px_q
2007-09-30,1816.3,Czech Republic,^px_q
2007-12-31,1815.1,Czech Republic,^px_q
2008-03-31,1551.9,Czech Republic,^px_q
2008-06-30,1483.5,Czech Republic,^px_q
2008-09-30,1204.7,Czech Republic,^px_q
2008-12-31,858.2,Czech Republic,^px_q
2009-03-31,749.7,Czech Republic,^px_q
2009-06-30,898.2,Czech Republic,^px_q
2009-09-30,1157.1,Czech Republic,^px_q
2009-12-31,1117.3,Czech Republic,^px_q
2010-03-31,1196.8,Czech Republic,^px_q
2010-06-30,1103.9,Czech Republic,^px_q
2010-09-30,1131.6,Czech Republic,^px_q
2010-12-31,1224.8,Czech Republic,^px_q
2011-03-31,1257.3,Czech Republic,^px_q
2011-06-30,1225.4,Czech Republic,^px_q
2011-09-30,933.9,Czech Republic,^px_q
2011-12-31,911.1,Czech Republic,^px_q
2012-03-31,973.1,Czech Republic,^px_q
2012-06-30,900.9,Czech Republic,^px_q
2012-09-30,953.38,Czech Republic,^px_q
2012-12-31,1038.7,Czech Republic,^px_q
2013-03-31,962.86,Czech Republic,^px_q
2013-06-30,878.27,Czech Republic,^px_q
2013-09-30,957.62,Czech Republic,^px_q
2013-12-31,989.04,Czech Republic,^px_q
2014-03-31,1006.45,Czech Republic,^px_q
